unique_carrier,year,month,total_gallons,passengers,distance,dep_delay,arr_delay,monthly_delay,gallons_per_mile_per_passenger,liters_per_100km_per_passenger,cons_per_mile
AA,2018,1,283974071.0,11296526.0,3015630.0,494784.0,30903.0,525687.0,8.33596199867079e-06,0.001960745090215035,94.16741145299656
AA,2018,2,261946387.0,10745382.0,2896942.0,495890.0,135375.0,631265.0,8.414934755815115e-06,0.0019793206842323983,90.42168845631014
AA,2018,3,298906244.0,12888804.0,2989934.0,470556.0,-16166.0,454390.0,7.756410151995471e-06,0.0018244256782413613,99.97085019267983
AA,2018,4,297784292.0,12276405.0,3213436.0,489369.0,38006.0,527375.0,7.548504581609504e-06,0.0017755231248914728,92.66849938819382
AA,2018,5,318954880.0,12949638.0,3206234.0,864674.0,456674.0,1321348.0,7.682037235458945e-06,0.0018069320367195766,99.4796013017141
AA,2018,6,327277749.0,13448099.0,3226508.0,1072169.0,751692.0,1823861.0,7.542630546851079e-06,0.0017741414625453429,101.43404231447745
AA,2018,7,341082450.0,13863198.0,3220268.0,1328217.0,1022704.0,2350921.0,7.640185996165872e-06,0.0017970879884889833,105.91741122167471
AA,2018,8,334937605.0,13350661.0,3308006.0,1141508.0,883355.0,2024863.0,7.583939389823658e-06,0.0017838579309090259,101.25060383808251
AA,2018,9,302313376.0,11131731.0,3051560.0,690015.0,429192.0,1119207.0,8.899646298186598e-06,0.002093332213678788,99.068468586559
AA,2018,10,309826329.0,12527158.0,3023700.0,761166.0,500094.0,1261260.0,8.179505830530933e-06,0.0019239442190542738,102.46596190098224
AA,2018,11,275209633.0,11947576.0,2820849.0,625551.0,364046.0,989597.0,8.1658987430473e-06,0.001920743625052056,97.56269584086209
AA,2018,12,292016200.0,12168326.0,3286406.0,599256.0,290414.0,889670.0,7.302219678928753e-06,0.0017175931686605817,88.8557895768204
AA,2019,1,286544730.0,11890601.0,2990291.0,583899.0,247140.0,831039.0,8.058888843751644e-06,0.0018955732686274684,95.82503174440214
AA,2019,2,264286537.0,11288789.0,3006982.0,758338.0,502450.0,1260788.0,7.785685494753525e-06,0.001831311684269984,87.89096077063314
AA,2019,3,301971007.0,13417608.0,3022699.0,866991.0,475428.0,1342419.0,7.445523611986147e-06,0.0017513004340242667,99.90111718037423
AA,2019,4,291008622.0,12583774.0,3110392.0,941384.0,588140.0,1529524.0,7.434980268583927e-06,0.0017488204792435646,93.56011139431943
AA,2019,5,319972133.0,13644713.0,3466151.0,1392650.0,1106529.0,2499179.0,6.7655058311650236e-06,0.001591349905792906,92.3133853660732
AA,2019,6,327437203.0,13894412.0,3632734.0,1453486.0,1163151.0,2616637.0,6.487154639876484e-06,0.0015258774706064769,90.1351992741555
AA,2019,7,338595043.0,14413166.0,3455652.0,1283043.0,794492.0,2077535.0,6.79815725847756e-06,0.0015990300182744382,97.98296906054198
AA,2019,8,338196501.0,13977154.0,3553095.0,1186337.0,745095.0,1931432.0,6.8099439955244636e-06,0.001601802438158077,95.18363595682074
AA,2019,9,303854847.0,12227544.0,3207757.0,608105.0,120152.0,728257.0,7.746855813230814e-06,0.0018221783523987003,94.72502031793556
AS,2018,1,58008156.0,1990429.0,1141540.0,-35562.0,-105737.0,-141299.0,2.5530024731396846e-05,0.006005050245327023,50.8157015960895
AS,2018,2,53190592.0,1943444.0,1090802.0,-15628.0,-58730.0,-74358.0,2.5090936271434082e-05,0.005901769958999021,48.762829551100936
AS,2018,3,61086840.0,2335393.0,1123491.0,-19233.0,-69006.0,-88239.0,2.328188222358602e-05,0.005476252922954792,54.372344771787226
AS,2018,4,60819149.0,3069054.0,1491711.0,36303.0,-11743.0,24560.0,1.3284680589310376e-05,0.0031247589953887454,40.771402101345366
AS,2018,5,63119777.0,3209863.0,1469497.0,59736.0,38814.0,98550.0,1.3381668140554067e-05,0.0031475719430657336,42.9533214426433
AS,2018,6,64229624.0,3321014.0,1324960.0,60495.0,-2181.0,58314.0,1.4596942792354206e-05,0.0034334230310577216,48.476651370607414
AS,2018,7,66618692.0,3463056.0,1360875.0,77621.0,901.0,78522.0,1.4135733572172593e-05,0.0033249396053682567,48.95283696151373
AS,2018,8,65204794.0,3318382.0,1458816.0,186058.0,154664.0,340722.0,1.3469535843463692e-05,0.0031682397636599246,44.69706529130473
AS,2018,9,57233475.0,2796596.0,1331145.0,7833.0,-62468.0,-54635.0,1.5374288205426913e-05,0.003616266499193316,42.99567289814408
AS,2018,10,59541567.0,2929537.0,1423567.0,71854.0,21225.0,93079.0,1.4277210431602965e-05,0.003358217115216716,41.82561621616686
