fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime
2019-01-11,AS,AS,AS,64,AS,N611AS,64,15841,WRG,"Wrangell, AK",12819,KTN,"Ketchikan, AK",1630,1620.0,-10.0,8.0,1628.0,1649.0,9.0,1705,1658.0,-7.0,0.0,0,0.0,N,35.0,38.0,21.0,1.0,82.0,0.0,0.0,0.0,0.0,0.0,1620.0,0.0,0.0
2018-01-21,AA,AA_CODESHARE,AA,5206,OH,N587NN,5206,13577,MYR,"Myrtle Beach, SC",11057,CLT,"Charlotte, NC",930,922.0,-8.0,24.0,946.0,1025.0,10.0,1048,1035.0,-13.0,0.0,0,0.0,N,78.0,73.0,39.0,1.0,157.0,0.0,0.0,0.0,0.0,0.0,922.0,0.0,0.0
2019-12-22,DL,DL_CODESHARE,DL,4861,9E,N478PX,4861,14576,ROC,"Rochester, NY",13487,MSP,"Minneapolis, MN",610,606.0,-4.0,56.0,702.0,758.0,11.0,758,809.0,11.0,0.0,0,0.0,N,168.0,183.0,116.0,1.0,783.0,0.0,0.0,0.0,0.0,0.0,606.0,0.0,0.0
2019-01-11,WN,WN,WN,1572,WN,N404WN,1572,14683,SAT,"San Antonio, TX",11259,DAL,"Dallas, TX",830,825.0,-5.0,7.0,832.0,920.0,3.0,935,923.0,-12.0,0.0,0,0.0,N,65.0,58.0,48.0,1.0,247.0,0.0,0.0,0.0,0.0,0.0,825.0,0.0,0.0
2018-11-30,WN,WN,WN,1006,WN,N906WN,1006,14679,SAN,"San Diego, CA",11292,DEN,"Denver, CO",1240,1240.0,0.0,11.0,1251.0,1541.0,4.0,1555,1545.0,-10.0,0.0,0,0.0,N,135.0,125.0,110.0,1.0,853.0,0.0,0.0,0.0,0.0,0.0,1240.0,0.0,0.0
2018-12-12,WN,WN,WN,414,WN,N7719A,414,10397,ATL,"Atlanta, GA",10821,BWI,"Baltimore, MD",1350,1346.0,-4.0,15.0,1401.0,1517.0,12.0,1535,1529.0,-6.0,0.0,0,0.0,N,105.0,103.0,76.0,1.0,577.0,0.0,0.0,0.0,0.0,0.0,1346.0,0.0,0.0
2019-10-01,WN,WN,WN,1166,WN,N7721E,1166,12892,LAX,"Los Angeles, CA",12191,HOU,"Houston, TX",1600,1604.0,4.0,7.0,1611.0,2109.0,4.0,2120,2113.0,-7.0,0.0,0,0.0,N,200.0,189.0,178.0,1.0,1390.0,0.0,0.0,0.0,0.0,0.0,1604.0,0.0,0.0
2018-09-16,B6,B6,B6,2001,B6,N273JB,2001,10792,BUF,"Buffalo, NY",12478,JFK,"New York, NY",526,515.0,-11.0,26.0,541.0,640.0,8.0,649,648.0,-1.0,0.0,0,0.0,N,83.0,93.0,59.0,1.0,301.0,0.0,0.0,0.0,0.0,0.0,515.0,0.0,0.0
2018-02-01,AA,AA,AA,416,AA,N979UY,416,12892,LAX,"Los Angeles, CA",11057,CLT,"Charlotte, NC",1320,1307.0,-13.0,22.0,1329.0,2019.0,22.0,2108,2041.0,-27.0,0.0,0,0.0,N,288.0,274.0,230.0,1.0,2125.0,0.0,0.0,0.0,0.0,0.0,1307.0,0.0,0.0
2018-02-12,WN,WN,WN,33,WN,N411WN,33,15016,STL,"St. Louis, MO",11259,DAL,"Dallas, TX",1205,1159.0,-6.0,10.0,1209.0,1333.0,3.0,1345,1336.0,-9.0,0.0,0,0.0,N,100.0,97.0,84.0,1.0,546.0,0.0,0.0,0.0,0.0,0.0,1159.0,0.0,0.0
